         34239140 function calls (34182977 primitive calls) in 12.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.000   12.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:55(search_best_move)
        3    0.000    0.000   12.000    4.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:86(min_max_root)
 56204/41    0.526    0.000   11.998    0.293 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:128(min_max)
  1577881    0.644    0.000    5.076    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3452(generate_legal_moves)
    48105    0.939    0.000    3.716    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/evaluate.py:999(evaluate_position)
  1582784    1.326    0.000    3.234    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1607(generate_pseudo_legal_moves)
    56204    0.070    0.000    1.778    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:51(push_move)
    56204    0.049    0.000    1.159    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:70(pop_move)
    56204    0.149    0.000    0.977    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:170(undo_move)
    56204    0.127    0.000    0.899    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:131(make_move)
  3867776    0.694    0.000    0.862    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:233(scan_reversed)
  1481248    0.512    0.000    0.827    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3414(_is_safe)
    56204    0.290    0.000    0.796    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2112(push)
  2633623    0.619    0.000    0.744    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:224(scan_forward)
    11892    0.052    0.000    0.708    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:58(calculate_from_scratch)
    48104    0.056    0.000    0.663    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1903(is_stalemate)
   719952    0.301    0.000    0.659    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:622(pieces)
   590109    0.122    0.000    0.610    0.000 {built-in method builtins.len}
    11892    0.220    0.000    0.589    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:30(get_all_piece_indexes)
   124300    0.142    0.000    0.573    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:116(get_current_castling_rights)
   577248    0.119    0.000    0.489    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3812(__len__)
    50600    0.028    0.000    0.434    0.000 {built-in method builtins.any}
    55310    0.209    0.000    0.409    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3488(generate_castling_moves)
   238079    0.074    0.000    0.383    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:728(attackers_mask)
   577248    0.166    0.000    0.370    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:243(popcount)
  4918392    0.326    0.000    0.326    0.000 {method 'bit_length' of 'int' objects}
   488538    0.324    0.000    0.324    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:680(attacks_mask)
  1537452    0.324    0.000    0.324    0.000 <string>:2(__init__)
   241814    0.313    0.000    0.313    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:710(_attackers_mask)
    96209    0.035    0.000    0.306    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1706(is_check)
    96209    0.053    0.000    0.271    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1694(checkers_mask)
   248600    0.238    0.000    0.270    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3188(has_kingside_castling_rights)
    48105    0.015    0.000    0.200    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1896(is_checkmate)
    56204    0.050    0.000    0.193    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2106(_board_state)
   719952    0.189    0.000    0.189    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:606(pieces_mask)
  1440768    0.177    0.000    0.177    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3071(is_en_passant)
   719952    0.168    0.000    0.168    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3789(__init__)
   112408    0.053    0.000    0.164    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:108(apply_special_flags)
   248600    0.134    0.000    0.161    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3209(has_queenside_castling_rights)
   102630    0.141    0.000    0.161    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3395(_slider_blockers)
    56204    0.051    0.000    0.133    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2233(pop)
   112408    0.097    0.000    0.126    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:806(_remove_piece_at)
   494831    0.089    0.000    0.123    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:230(msb)
   476106    0.121    0.000    0.121    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:640(piece_type_at)
   112408    0.099    0.000    0.111    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:74(get_special_flags)
   577248    0.103    0.000    0.103    0.000 {built-in method builtins.bin}
   577248    0.101    0.000    0.101    0.000 {method 'count' of 'str' objects}
   586728    0.099    0.000    0.099    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:24(get_piece_index)
   719952    0.092    0.000    0.092    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3806(__iter__)
   766914    0.081    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:168(square_mirror)
    39240    0.013    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:731(is_attacked_by)
   199668    0.081    0.000    0.081    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:399(between)
    56204    0.046    0.000    0.080    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:842(_set_piece_at)
    56204    0.065    0.000    0.077    0.000 /usr/lib/python3.8/typing.py:868(__new__)
   597293    0.076    0.000    0.076    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3127(clean_castling_rights)
    56204    0.071    0.000    0.071    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1350(restore)
    96222    0.043    0.000    0.068    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:669(king)
