         37554489 function calls (37513200 primitive calls) in 12.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.001   12.001 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:56(search_best_move)
        3    0.000    0.000   12.001    4.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:87(min_max_root)
 41330/41    0.386    0.000   11.993    0.293 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:129(min_max)
    82660    0.316    0.000    4.759    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:57(from_board)
    82660    1.465    0.000    3.938    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:30(get_all_piece_indexes)
  1078632    0.453    0.000    3.583    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3452(generate_legal_moves)
    41330    0.036    0.000    2.996    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:49(push_move)
    34788    0.668    0.000    2.698    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/evaluate.py:999(evaluate_position)
    41330    0.034    0.000    2.531    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:55(pop_move)
  1081358    0.950    0.000    2.309    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1607(generate_pseudo_legal_moves)
  5159024    1.189    0.000    1.432    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:224(scan_forward)
  1409376    0.560    0.000    1.205    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:622(pieces)
    41330    0.216    0.000    0.606    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2112(push)
  2752829    0.488    0.000    0.601    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:233(scan_reversed)
  1007479    0.357    0.000    0.548    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3414(_is_safe)
    82660    0.041    0.000    0.504    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:103(apply_special_flags)
    34788    0.042    0.000    0.493    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1903(is_stalemate)
    82660    0.150    0.000    0.463    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:69(get_special_flags)
   427874    0.088    0.000    0.448    0.000 {built-in method builtins.len}
  5860252    0.378    0.000    0.378    0.000 {method 'bit_length' of 'int' objects}
   417456    0.088    0.000    0.359    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3812(__len__)
  2639950    0.354    0.000    0.354    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:24(get_piece_index)
  1409376    0.336    0.000    0.336    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:606(pieces_mask)
    35592    0.018    0.000    0.320    0.000 {built-in method builtins.any}
  1409376    0.308    0.000    0.308    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3789(__init__)
    40011    0.151    0.000    0.290    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3488(generate_castling_moves)
   166402    0.053    0.000    0.278    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:728(attackers_mask)
   417456    0.121    0.000    0.271    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:243(popcount)
   358664    0.249    0.000    0.249    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:680(attacks_mask)
    69576    0.023    0.000    0.234    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1706(is_check)
  1048809    0.229    0.000    0.229    0.000 <string>:2(__init__)
   167606    0.227    0.000    0.227    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:710(_attackers_mask)
    69576    0.040    0.000    0.211    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1694(checkers_mask)
   165320    0.164    0.000    0.188    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3188(has_kingside_castling_rights)
  1409376    0.180    0.000    0.180    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3806(__iter__)
  2732610    0.171    0.000    0.171    0.000 {method 'append' of 'list' objects}
    34788    0.012    0.000    0.157    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:1896(is_checkmate)
    41330    0.038    0.000    0.144    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2106(_board_state)
    74774    0.103    0.000    0.116    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3395(_slider_blockers)
   165320    0.096    0.000    0.116    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3209(has_queenside_castling_rights)
   985027    0.112    0.000    0.112    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3071(is_en_passant)
    82660    0.076    0.000    0.100    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:806(_remove_piece_at)
